,Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3)
0,PositiveTail 1,14.0,-44.0,40.0,2.0362121726544453,1827864
1,PositiveTail 1a,48.0,-58.0,40.0,0.6435916729610188,
2,PositiveTail 1b,42.0,-40.0,54.0,0.6435916729610188,
3,PositiveTail 1c,38.0,-54.0,56.0,0.6435916729610188,
