Analysis	Cluster #	Size (mm3)	Cluster labels	Mean z	Mean ALE	Peak z	Peak ALE	Peak X	Peak Y	Peak Z	Peak label
control_greater_patient		nan		nan		nan					
patient_greater_control		nan		nan		nan					
